D A T E,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량
7/11/2008 12:00:00 AM,2721097,,4932,,,,,,,,,,,,,,7498,,660,1979,,,,,,242431,,,,,,,,,,,,,,,
7/18/2008 12:00:00 AM,1883678,,1050513,,,,,,,,,,,,,,2922,,5999,7914,,,,,,550684,,,,,,,,,,,,,,,
7/25/2008 12:00:00 AM,2292920,,200071,,,,,,,,,,,,,,1784,,390,1597,,,,,,843319,,,,,,,,,,,,,,,
8/1/2008 12:00:00 AM,3540097,,264,,,,,,,,,,,,,,20815,,91,612,,,,,,149095,,,,,,,,,,,,,,,
8/8/2008 12:00:00 AM,2062212,,1314,,,,,,,,,,,,,,888,,232,1503,,,,,,317284,,,,,,,,,,,,,,,
8/14/2008 12:00:00 AM,4800247,,8900057,,,,,,,,,,,,,,494,,282,162,,,,,,137778,,,,,,,,,,,,,,,
8/22/2008 12:00:00 AM,1746542,,100167,,,,,,,,,,,,,,59093,,136,1244,,,,,,413238,,,,,,,,,,,,,,,
8/29/2008 12:00:00 AM,1547849,,217,,,,,,,,,,,,,,3275,,275,713,,,,,,381049,,,,,,,,,,,,,,,
9/5/2008 12:00:00 AM,3680320,,4500788,,,,,,,,,,,,,,2846,,306,52,,,,,,831338,,,,,,,,,,,,,,,
9/12/2008 12:00:00 AM,3442885,,203078,,,,,,,,,,,,,,1644,,2718,2248,,,,,,191520,,,,,,,,,,,,,,,
9/19/2008 12:00:00 AM,3333234,,3502371,,,,,,,,,,,,,,2293,,919,6219,,,,,,1152574,,,,,,,,,,,,,,,
9/26/2008 12:00:00 AM,3880445,137151,1650,,,,,,,,,,,,,,380,,267,3185,,,,,,207163,,,,,,,,,,,,,,,
10/2/2008 12:00:00 AM,1427409,7682,700018,,,,,,,,,,,,,,832,,60,1822,,,,,,76516,,,,,,,,,,,,,,,
10/10/2008 12:00:00 AM,2823296,4412,114896,,,,,,,,,,,,,,1460,,504,2372,,,,,,441309,,,,,,,,,,,,,,,
10/17/2008 12:00:00 AM,3937551,103146,3301521,,,,,,,,,,,,,,2522,,2131,13111,,,,,,1986389,,,,,,,,,,,,,,,
10/24/2008 12:00:00 AM,5768656,735372,2004156,,,,,,,,,,,,,,6492,,3704,3379,,,,,,1794402,,,,,,,,,,,,,,,
10/31/2008 12:00:00 AM,4500466,19608,406771,,,,,,,,,,,,,,3994,,4456,17882,,,,,,1272877,,,,,,,,,,,,,,,
11/7/2008 12:00:00 AM,4955543,707659,600584,,,,,,,,,,,,,,491,,1219,6909,,,,,,969229,,,,,,,,,,,,,,,
11/14/2008 12:00:00 AM,5589863,1002115,1500073,,,,,,,,,,,,,,19921,,132,12253,,,,,,2234422,,,,,,,,,,,,,,,
11/21/2008 12:00:00 AM,4051424,502883,1000915,,,,,,,,,,,,,,904,,664,14990,,,,,,1469870,,,,,,,,,,,,,,,
11/28/2008 12:00:00 AM,4408332,376786,9210,,,,,,,,,,,,,,6870,,421,7390,,,,,,5729705,,,,,,,,,,,,,,,
12/5/2008 12:00:00 AM,2635043,170297,93,,,,,,,,,,,,,,175,,2159,698,,,,,,5673486,,,,,,,,,,,,,,,
12/12/2008 12:00:00 AM,5188213,1077740,203922,,,,,,,,,,,,,,1271,,538,12534,,,,,,2437414,,,,,,,,,,,,,,,
12/19/2008 12:00:00 AM,6881542,56910,1074,,,,,,,,,,,,,,7032,,714,3358,,,,,,1229948,,,,,,,,,,,,,,,
12/26/2008 12:00:00 AM,2156177,1813,1200343,,,,,,,,,,,,,,1201,,193,2350,,,,,,194331,,,,,,,,,,,,,,,
1/2/2009 12:00:00 AM,4107613,3136,650517,,,,,,,,,,,,,,116,,90,4118,,,,,,660812,,,,,,,,,,,,,,,
1/9/2009 12:00:00 AM,6236221,1724588,390,,,,,,,,,,,,,,13744,,472,2748,,,,,,486827,,,,,,,,,,,,,,,
1/16/2009 12:00:00 AM,3543465,114808,900062,,,,,,,,,,,,,,51,,12,2573,,,,,,185347,,,,,,,,,,,,,,,
1/23/2009 12:00:00 AM,7781429,1052851,2142,,,,,,,,,,,,,,274,,78,1156,,,,,,975743,,,,,,,,,,,,,,,
1/30/2009 12:00:00 AM,3991756,720926,200507,,,,,,,,,,,,,,1694,,1122,11585,,,,,,438955,,,,,,,,,,,,,,,
2/6/2009 12:00:00 AM,4553178,456178,1307,,,,,,,,,,,,,,1958,,711,1599,,,,,,1046285,,,,,,,,,,,,,,,
2/13/2009 12:00:00 AM,3944683,608548,2872,,,,,,,,,,,,,,3569,,83,1776,,,,,,1022242,,,,,,,,,,,,,,,
2/20/2009 12:00:00 AM,4073796,161110,2501887,,,,,,,,,,,,,,2742,,792,15102,,,,,,172448,,,,,,,,,,,,,,,
2/27/2009 12:00:00 AM,5180657,147066,1507528,,,,,,,,,,,,,,685,,890,10760,,,,,,152489,,,,,,,,,,,,,,,
3/6/2009 12:00:00 AM,3596268,20910,2345,,,,,,,,,,,,,,53594,,99,8781,,,,,,149559,,,,,,,,,,,,,,,
3/13/2009 12:00:00 AM,5756577,103119,2079,,,,,,,,,,,,,,7288,,40,10931,,,,,,1553792,,,,,,,,,,,,,,,
3/20/2009 12:00:00 AM,2783737,561793,3552,,,,,,,,,,,,,,3253,,5583,9400,,,,,,371664,,,,,,,,,,,,,,,
3/27/2009 12:00:00 AM,2179687,763402,1302377,,,,,,,,,,,,,,76591,,2364,10459,,,,,,396272,,,,,,,,,,,,,,,
4/3/2009 12:00:00 AM,3545329,1724018,324,,,,,,,,,,,,,,9337,,4302,23595,,,,,,355554,,,,,,,,,,,,,,,
4/10/2009 12:00:00 AM,5842461,1248488,1866,,,,,,,,,,,,,,4357,,2909,15070,,,,,,352713,,,,,,,,,,,,,,,
4/17/2009 12:00:00 AM,9011713,1694355,1801419,,,,,,,,,,,,,,10129,,5685,19178,,,,,,85657,,,,,,,,,,,,,,,
4/24/2009 12:00:00 AM,2638202,657877,387,,,,,,,,,,,,,,11664,,4850,10923,,,,,,298511,,,,,,,,,,,,,,,
4/30/2009 12:00:00 AM,4969739,216524,1330,,,,,,,,,,,,,,6966,,2850,28205,,,,,,484248,,,,,,,,,,,,,,,
5/8/2009 12:00:00 AM,2440134,103646,2500690,,,,,,,,,,,,,,3783,,1333,13008,,,,,,509900,,,,,,,,,,,,,,,
5/15/2009 12:00:00 AM,2086499,505177,100565,,,,,,,,,,,,,,5728,,2815,11202,,,,,,669990,,,,,,,,,,,,,,,
5/22/2009 12:00:00 AM,3708412,1014828,750560,,,,,,,,,,,,,,1857,,3826,12970,,,,,,3066122,,,,,,,,,,,,,,,
5/29/2009 12:00:00 AM,6144972,1765152,4406161,,,,,,,,,,,,,,1539,,901067,4194,,,,,,1571824,,,,,,,,,,,,,,,
6/5/2009 12:00:00 AM,3537207,255244,3502271,,,,,,,,,,,,,,2009,,2165,10902,,,,,,467557,,,,,,,,,,,,,,,
6/12/2009 12:00:00 AM,2836728,72386,2300335,,,,,,,,,,,,,,3501,,4271,9501,,,,,,419796,,,,,,,,,,,,,,,
6/19/2009 12:00:00 AM,1660374,16191,103,,,,,,,,,,,,,,427,,2775,4723,,,,,,78960,,,,,,,,,,,,,,,
6/26/2009 12:00:00 AM,1664631,612527,900065,,,,,,,,,,,,,,5802,,5517,6543,,,,,,234643,,,,,,,,,,,,,,,
7/3/2009 12:00:00 AM,1498051,107295,8,,,,,,,,,,,,,,3308,,4121,9864,,,,,,298184,,,,,,,,,,,,,,,
7/10/2009 12:00:00 AM,3652085,216897,30049,,,,,,,,,,,,,,2982,,4484,19592,,,,,,354154,,,,,,,,,,,,,,,
7/17/2009 12:00:00 AM,876734,313709,300,,,,,,,,,,,,,,10077,,9657,12216,,,,,,311544,,,,,,,,,,,,,,,
7/24/2009 12:00:00 AM,1096615,550500,1619,,,,,,,,,,,,,,1828,,6067,41797,,,,,,232815,,,,,,,,,,,,,,,
7/31/2009 12:00:00 AM,2358452,455476,1726,,,,,,,,,,,,,,7500,,8704,21870,,,,,,189672,,,,,,,,,83119,,,,,,
8/7/2009 12:00:00 AM,5782778,43789,8917,,,,,,,,,,,,,,4198,,9439,18007,,,,,,207123,,,,,,,,,23077,,,,,,
8/14/2009 12:00:00 AM,1985100,102956,25676,,,,,,,,,,,,,,4637,,6026,17941,,,,,,172065,,,,,,,,,83103,,,,,,
8/21/2009 12:00:00 AM,6823106,454746,4618308,,,,,,,,,,,,,,15317,,7332,33091,,,,,,423529,,,,,,,,,2138,,,,,,
8/28/2009 12:00:00 AM,2630035,309256,1215848,,,,,,,,,,,,,,22085,,12371,10030,,,,,,383265,,,,,,,,,7751,,,,,,
9/4/2009 12:00:00 AM,1599024,217274,1020530,,,,,,,,,,,,,,25867,,18555,25069,,,,,,384955,,,,,,,,,2933,,,,,,
9/11/2009 12:00:00 AM,2937904,561554,14660,,,,,,,,,,,,,,8307,,23766,24857,,,,,,632181,,,,,,,,,3061,,,,,,
9/18/2009 12:00:00 AM,1871774,558712,12894,,,,,,,,,,,,,,11992,,12899,29300,,,,,,504949,,,,,,,,,839,,,,,,
9/25/2009 12:00:00 AM,1747419,25021,19616,,,,,,,,,,,,,,18904,,13412,22132,,,,,,727142,,,,,,,,,814,,,,,,
10/1/2009 12:00:00 AM,3692949,153759,1097492,,,,,,,,,,,,,,8354,,24922,14990,,,,,,460297,,,,,,,,,1044,,,,,,
10/9/2009 12:00:00 AM,2003399,883841,78288,,,,,,,,,,,,,,3814,,11427,15311,,,,,,819816,,,,,,,,,274,,,,,,
10/16/2009 12:00:00 AM,1248908,35055,52752,,,,,,,,,,,,,,11655,,15481,18381,,,,,,340142,,,,,,,,,6239,,,,,,
10/23/2009 12:00:00 AM,1742587,161513,13317,,,,,,,,,,,,,,3520,,18160,4988,,,,,,146986,,,,,,,,,2633,,,,,,
10/30/2009 12:00:00 AM,10661642,517324,837436,,,,,,,,,,,,,,20417,,8844,10311,,,,,,988362,,,,,,,,,106,,,,,,
11/6/2009 12:00:00 AM,5381481,38743,152497,,,,,,,,,,,,,,2345,,2063,4520,,,,,,157794,,,,,,,,,6182,,,,,,
11/13/2009 12:00:00 AM,1511262,41953,432206,,,,,,,,,,,,,,5608,,4964,5509,,,,,,1669844,,,,,,,,,14769,,,,,,
11/20/2009 12:00:00 AM,1076093,10203,293613,,,,,,,,,,,,,,5321,,3782,7746,,,,,,822007,,,,,,,,,313,,,,,,
11/27/2009 12:00:00 AM,6080899,115092,565134,,,,,,,,,,,,,,13091,,10600,40705,,,,,,1200839,,,,,,,,,6590,,,,,,
12/4/2009 12:00:00 AM,1498941,13758,336708,,,,,,,,,,,,,,8947,,3250,7023,,,,,,530402,,,,,,,,,1514,,,,,,
12/11/2009 12:00:00 AM,1631953,80523,286706,,,,,,,,,,,,,,9815,,11380,8712,,,,,,463812,,,,,,,,,200848,,,,,,
12/18/2009 12:00:00 AM,1350100,62590,207712,,,,,,,,,,,,,,4362,,2469,20229,,,,,,461957,,,,,,,,,2119,,,,,,
12/24/2009 12:00:00 AM,1301760,5058,341278,,,,,,,,,,,,,,7781,,6273,15299,,,,,,648538,,,,,,,,,224,,,,,,
12/30/2009 12:00:00 AM,1685731,12109,226751,,,,,,,,,,,,,,4827,,3439,5171,,,,,,409774,,,,,,,,,136,,,,,,
1/8/2010 12:00:00 AM,1428088,11803,327724,,,,,,,,,,,,,,11938,,9322,4655,,,,,,1572820,,,,,,,,,3112,,,,,,
1/15/2010 12:00:00 AM,1083794,170717,622497,,,,,,,,4589,,,,,,5543,,8240,3851,,,,,,387555,,,,,,,,,936,,,,,,
1/22/2010 12:00:00 AM,3248239,218449,878304,,,,,,,,6313,,,,,,9217,,8806,22002,,,,,,3477787,,,,,,,,,1840,,,,,,
1/29/2010 12:00:00 AM,2717811,21216,772034,,,,,,,,6469,,,,,,8077,,9915,13299,,,,,,965678,,,,,,,,,399,,,,,,
2/5/2010 12:00:00 AM,5033499,7896,240516,,,,,,,,4620,,,,,,7485,,6346,15726,,,,,,730939,,,,,,,,,98750,,,,,,
2/12/2010 12:00:00 AM,2306259,312463,405848,,,,,,,,16320,,,,,,5504,,3768,12619,,,,,,813841,,,,,,,,,399,,,,,,
2/19/2010 12:00:00 AM,2627570,78155,945508,,,,,,,,6799,,,,,,3484,,2301,6562,,,,,,795001,,,,,,,,,160,,,,,,
2/26/2010 12:00:00 AM,974615,163953,422005,,,,,,,,5163,,,,,,10410,,985,4290,,,,,,297487,,,,,,,,,1353,,,,,,
3/5/2010 12:00:00 AM,1562894,18443,703252,,,,,,,,67840,,,,,,7598,,5449,3485,,,,,,245646,,,,,,,,,1275,,,,,,
3/12/2010 12:00:00 AM,1004166,38796,512851,,,,,,,,7483,,,,,,2258,,5781,3227,,,,,,420495,,,,,,,,,453,,,,,,
3/19/2010 12:00:00 AM,969079,52041,521886,,,,,,,,17047,,,,,,5980,,10749,12305,,,,,,1595379,,,,,,,,,7794,,,,,,
3/26/2010 12:00:00 AM,2124517,112978,330645,,,,,,,,13845,,,,,,4028,,4684,3344,,,,,,441020,,,,,,,,,1680,,,,,,
